location,text,hashtags,tweetcreatedts
"New York, USA","@impinkestgirl @julyriver @kristyshl @SShebop @CirclesSpinning @keriRN @vaato5455 @oldmanliver @62WalterP @HondoResists @TaggartRehnn @doug_in_nc @IMundebo @Davebriers2 @MairScott3 @RonniLaurie @BlueTsuni @MarciaBunney @bettypge69 @KellyKurtz16 @bobbiejaneV @IntoTheShitter @tSlacksMarin @milliemadden @StaryStaryNlght @alenesmiles @ThomONeil1 @KeepsAtIt @BlueWave_resist @HurricaneEve81 @zazzybritches @MFrance923 @nwTGcpvrO1h3BpH @zzcouch1gmailc3 @TJNugent520 @LenayTatiana @GDThor1 @RegVickers @ldog562 @patricia_millin @212_artist @OklahomaPatrio1 @Betterw05759703 @CunningSq16 @MykeyCantona7 @Ezim79 @poppij @McGeezer67 It would be a great sacrifice for Covid-19 to hit the entire GOP Administration,  but duty is calling! 😉🤫",[],2020-10-06 23:32:43
"Los Angeles, CA",We are gonna find out that the last time donnie was negative was Rosh Hashanah. And the White House is lying about all of it. #LiesAfterLies #BidenHarris2020 #Covid_19,"[{'text': 'LiesAfterLies', 'indices': [126, 140]}, {'text': 'BidenHarris2020', 'indices': [141, 157]}, {'text': 'Covid_19', 'indices': [158, 167]}]",2020-10-06 23:32:43
"San Francisco, CA",A fourth press aide has tested positive for coronavirus. That means four press aides plus White House press Secretary Kayleigh McEnany are now positive. https://t.co/BAPtTNwsNr,[],2020-10-06 23:32:43
"San Francisco, CA","Getting drinks and was just informed about Miller, and here is my take: Covid-19 is much better at politics than the Democrats are",[],2020-10-06 23:32:43
New York,"Stephen Miller has COVID-19.

Our deepest condolences go out to all the families who have been separated, to those who have been dehumanized by Trump's horrific immigration policies, and to the migrants in detention centers who have been forgotten during this health pandemic.",[],2020-10-06 23:32:40
New York,"At least 10 people who work in the White House are infected with Covid-19.  Let’s just call him what he is; #TyphoidTrump!  He’s a #superspreader!  And not just of disinformation, hate, paranoia, chauvinism, misogyny, chaos and deceit!  Don’t get near him! He will make you sick!","[{'text': 'TyphoidTrump', 'indices': [125, 138]}]",2020-10-06 23:32:40
Long island New York ,"FOR THE RECORD: You can't get mad at US for saying ""karma"" when the assholes who refuse to wear a mask, and mock others for wearing masks, finally catch COVID-19.

That's how karma works, bitches.",[],2020-10-06 23:32:40
Los Angeles,Breaking: Stephen Miller has infected COVID-19,[],2020-10-06 23:32:40
New York ,Stephen Miller tests positive for COVID-19                                How should we show our sincere compassion?      https://t.co/tRHQgvvr4r,[],2020-10-06 23:32:38
"Los Angeles, CA","Reminder that when we first reported that Stephen Miller's grandmother died of  COVID,  he denied it, despite  her kids statements and her death certificate https://t.co/kBz9aqUeNc",[],2020-10-06 23:32:37
Rochester New York ,BREAKING: The chairman of an Arkansas Republican group that held maskless event has died from COVID-19,[],2020-10-06 23:32:34
Chicago,"Stephen Miller has tested positive for #Covid_19 . His condition does not negate the fact that he is a white nationalist who has advocated racist and human rights violating immigration policies..... Time to log off.... 

https://t.co/fJRZH4COPq","[{'text': 'Covid_19', 'indices': [59, 68]}]",2020-10-06 23:32:33
"New York, NY ","Susan Collins: “Waiting until after the election to reach an agreement on the next Covid-19 relief package is a huge mistake.  

“I have already been in touch with the Secretary of the Treasury, one of the chief negotiators, and with several of my Senate colleagues.”",[],2020-10-06 23:32:30
"Miami, Fl
",Stephen Miller has tested positive for COVID-19,[],2020-10-06 23:32:30
Iconic Hollywood. Los Angeles ,"#NotMyPresident #Trump who paid #NoFederalTax 11 out of 15 years &amp; #750dollars in 2016, 2017 
who gets 10Ks (maybe 100Ks) dollars in treatment for his #Covid_19 GETS EVEYTHING FREE
Denies service help #medicalcare to #USCitizens
#TrumpIsAPig #TrumpCrimeFamily #MalignantNarcissist https://t.co/GtxPRfjnOq","[{'text': 'NotMyPresident', 'indices': [0, 15]}, {'text': 'Trump', 'indices': [16, 22]}, {'text': 'NoFederalTax', 'indices': [32, 45]}, {'text': '750dollars', 'indices': [71, 82]}, {'text': 'Covid_19', 'indices': [155, 164]}, {'text': 'medicalcare', 'indices': [205, 217]}, {'text': 'USCitizens', 'indices': [221, 232]}, {'text': 'TrumpIsAPig', 'indices': [233, 245]}, {'text': 'TrumpCrimeFamily', 'indices': [246, 263]}, {'text': 'MalignantNarcissist', 'indices': [264, 284]}]",2020-10-06 23:32:28
Los Angeles,"And now 17, that’s SEVENTEEN, individuals linked to WH and campaign who have tested positive for covid-19.",[],2020-10-06 23:32:26
"New York, NY","@JustinTymACGIII @DanielleCandela @atrupar @CNN That’s your justification?! Tell that to the over 210,000 dead Americans. That’s more people dead than in 4 years of flu. The WH is a covid 19 hotspot clusterfuck with Stephen Miller positive. I feel sorry for the housekeeping staff.",[],2020-10-06 23:32:23
"Miami, FL",Please do not let the the wonders of her cell line detract from the fact that they were STOLEN without permission and are still being used today in research with COVID-19 https://t.co/jjqlWHb53k,[],2020-10-06 23:32:22
"LONG ISLAND RED, NEW YORK",He’s doing it AGAIN!: https://t.co/GGuRkoypv2,[],2020-10-06 23:32:21
