location,text,hashtags,tweetcreatedts
"Miami, FL","Global COVID-19 Cases Surpass Springtime Highs, Deaths Still Lag: Live Updates - https://t.co/V8U1gjx4qB https://t.co/jq8jLdTOrk",[],2020-10-10 16:18:57
San Francisco Bay Area,"Noticed there have been no ""best wishes for a full recovery"" tweets from #DonaldTrump about his ever faithful buddy #ChrisChristie? No surprise because Trump doesn't even want to admit that COVID-19 can kill, especially those that Trump himself infected! Sad! @realDonaldTrump https://t.co/8va7YXt9Wj","[{'text': 'DonaldTrump', 'indices': [73, 85]}, {'text': 'ChrisChristie', 'indices': [116, 130]}]",2020-10-10 16:18:53
Miami,"@GOP ""Contact tracing and visualizing the people exposed to COVID-19 by Trump outbreak""
😷
https://t.co/LS0d2Ikc1R",[],2020-10-10 16:18:53
"San Francisco, CA","I can't wait to dance again 🥺😭
Following Months Of COVID-19 Restrictions, The Dance Music Scene Is Back In China  https://t.co/8LzNqlOs4k",[],2020-10-10 16:18:51
"New York, USA","Governor Nyesom Wike has lifted curfew imposed on the Bonny Local Government Area of Rivers State since July 10, 2020 in the wake of illnesses and deaths associated with COVID-19 in the area.
Read More: https://t.co/peatcSsHYH",[],2020-10-10 16:18:48
New York City,"Disclaimer for Trump's rally in Florida: ""You and any guests voluntarily assume all risks related to exposure to COVID-19, and waive, release, and discharge Donald J. Trump for President, Inc.; the host venue; or any of their affiliates ... from any and all liability.""",[],2020-10-10 16:18:32
Miami,"@RepJohnCurtis @WhiteHouse ""Contact tracing and visualizing the people exposed to COVID-19 by Trump outbreak""
😷
https://t.co/LS0d2Ikc1R",[],2020-10-10 16:18:25
"Los Angeles, CA","@Cleavon_MD New COVID infections reported in the USA:

Sun.    Oct 4:  36,066
Mon.   Oct 5:  42,732
Tues.  Oct 6:  43,102
Weds. Oct 7:  53,478
Thurs. Oct 8:  57,539
Fri.      Oct 9:  60,715

Welcome to President Superspreader's Second Term.

#COVID__19 #coronavirus #VoteBlueToSaveAmerica https://t.co/kqPdlOr442",[],2020-10-10 16:18:24
"Los Angeles, CA","I demand that @LindseyGrahamSC be tested for Covid-19 by an impartial professional and that he reveal the results before he returns to the Senate in any capacity. Everyone at Amy Coney Barrett's hearing should also be tested and cleared. 

Re-tweet it you agree.",[],2020-10-10 16:18:22
"Los Angeles, CA","SARS-COV 1 Year 2003  = SARS-COV2  Year 2019. The only difference is the MEDIA. Modest media 2003 and strong media 2020. 
 #SARSCoV2 #COVID19 #coronavirusarv #coronavirus #Worlds2020 #MentalHealth","[{'text': 'SARSCoV2', 'indices': [123, 132]}, {'text': 'COVID19', 'indices': [133, 141]}, {'text': 'coronavirusarv', 'indices': [142, 157]}, {'text': 'coronavirus', 'indices': [158, 170]}, {'text': 'Worlds2020', 'indices': [171, 182]}, {'text': 'MentalHealth', 'indices': [183, 196]}]",2020-10-10 16:18:16
