"","location","text","hashtags","tweetcreatedts"
"134","San Francisco","photography michelle kilfeather","[{'text': '48Hills', 'indices': [36, 44]}, {'text': 'indyjournalism', 'indices': [45, 60]}, {'text': 'localjournalism', 'indices': [61, 77]}, {'text': 'TheStudSF', 'indices': [78, 88]}, {'text': 'gaybars', 'indices': [89, 97]}, {'text': 'gayclubs', 'indices': [98, 107]}, {'text': 'writers', 'indices': [108, 116]}, {'text': 'SFState', 'indices': [117, 125]}, {'text': 'bartenders', 'indices': [126, 137]}, {'text': 'SouthofMarket', 'indices': [138, 152]}, {'text': 'SOMASF', 'indices': [153, 160]}, {'text': 'eventspaces', 'indices': [161, 173]}, {'text': 'EiMing', 'indices': [174, 181]}, {'text': 'COVID19', 'indices': [182, 190]}, {'text': 'pandemic', 'indices': [191, 200]}, {'text': 'storytelling', 'indices': [201, 214]}, {'text': 'anFrancisco', 'indices': [215, 227]}, {'text': 'podcasts', 'indices': [228, 237]}]",2020-10-05
"135","Los Angeles","last checked cure covid partying","[]",2020-10-05
"136","Los Angeles","kayleigh mcenanys ring binder contracting covid administration disaster top shes quarantining disgrace embarrassment better together","[]",2020-10-05
"137","Miami","theres solution covid music venue dispute state needs listen letters","[]",2020-10-05
"138","Los Angeles","covid political last heard horrible virus killed americans tweet stupid comes","[]",2020-10-05
"139","San Francisco","trumps covid timeline","[]",2020-10-05
"140","Los Angeles","press secretary kayleigh mcenany tests positive covid statement fox news last february s hard feel sweet justice","[]",2020-10-05
"141","Los Angeles","trumps covid timeline","[]",2020-10-05
"142","Miami","online","[{'text': 'LockHimUp', 'indices': [34, 44]}, {'text': 'TrumpIsNotSmart', 'indices': [45, 61]}, {'text': 'Nov3', 'indices': [62, 67]}, {'text': 'TrumpKnew', 'indices': [68, 78]}, {'text': 'JoeBiden', 'indices': [79, 88]}, {'text': 'VoteBlue', 'indices': [89, 98]}, {'text': 'resist', 'indices': [99, 106]}, {'text': 'CoronaVirus', 'indices': [107, 119]}, {'text': 'NotMyPresident', 'indices': [120, 135]}]",2020-10-05
"143","New York","white dog tested positive covid soon","[{'text': 'BillBarr', 'indices': [88, 97]}, {'text': 'RoseGardenMassacre', 'indices': [98, 117]}]",2020-10-05
"144","New York","breaking adds covid guidelines acknowledgment tiny particles transmit coronavirus weeks deleting references role story coming","[]",2020-10-05
"145","San Francisco","s almost unfathomable facing headlines says president trump lady testing positive covid watch break timeline events inside trump admin week","[]",2020-10-05
"146","Chicago","presidents dont covid","[]",2020-10-05
"147","Chicago","conley standing trap door suspended above tank sharks president cured himself covid using uniquely virile immune system asked jog white insist helicopter","[]",2020-10-05
"148","San Francisco","easier rose garden scene didn t contract covid","[]",2020-10-05
"149","New York","asked wh officials countless times dont wear masks always tested negative doesnt dont covid doesnt arent contagious case","[]",2020-10-05
"150","New York","cdc s guidance covid sometimes spread airborne transmission","[]",2020-10-05
"151","New York","while taking questions press dr jill biden pulls husband couple extra feet both bidens tested negative covid morning white battles outbreak virus video cbs","[]",2020-10-05
"152","New York","s updated covid guidelines","[]",2020-10-05
"153","Los Angeles","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"154","New York","regeneron ceo says company proud trump received covid antibody treatment regn","[]",2020-10-05
"155","New York","breaking cdc restored guidelines tiny particles linger transmit coronavirus weeks deleting references role","[]",2020-10-05
"156","Miami","trumps covid timeline","[]",2020-10-05
"157","Los Angeles","feeding american public dangerous misinformation regarding coronavirus kayleigh mcenany tested positive covid","[]",2020-10-05
"158","New York","sweden highest death rate top countries covid disagree model success always convinced","[]",2020-10-05
"159","New York","trumps covid timeline","[]",2020-10-05
"160","Los Angeles","trumps covid timeline","[]",2020-10-05
"161","Los Angeles","trumps covid timeline","[]",2020-10-05
"162","New York","largest spread covid history white ever period","[]",2020-10-05
"163","New York","cdc calls quarantining close contact someone covid negative test white isnt listening","[]",2020-10-05
"164","New York","spending president minnesota senate majority leader says tested negative covid","[]",2020-10-05
"165","New York","wife doesn t believe kayleigh mcenany trump staff covid thinks saying trump really really doesn t m inclined agree especially leaves walter reed today","[]",2020-10-05
"166","New York","cdc report known covid exposure tested negative rapid antigen test family vacation households four states ages got covid family visited amp stayed outside","[]",2020-10-05
"167","New York","lockdown shut cafes bars curb spread infections rise","[{'text': 'Paris', 'indices': [0, 6]}, {'text': 'COVID19', 'indices': [58, 66]}]",2020-10-05
"168","New York","news brought charges university guilty double standard asking students social distancing rules while allowing president flout","[]",2020-10-05
"169","Los Angeles","cdc calls quarantining close contact someone covid negative test white isnt listening","[]",2020-10-05
"170","New York","trumps covid timeline","[]",2020-10-05
"171","Miami","ok karen below estimated covid survival rates age according cdc looks protect elderly let everyone lives normal sounds months ago","[]",2020-10-05
"172","New York","trumps covid timeline","[]",2020-10-05
"173","Chicago","stupid republican mask denier kayleigh mcenemy alleged press secretary covid attended trump event amp infecting republicans ever since hey republicans maga means masks","[]",2020-10-05
"174","Los Angeles","times pres trump covid mocked masks","[]",2020-10-05
"175","Los Angeles","trump s car ride secret service agents risk reportedly compromise doctors refused discharge hospital nuclear football","[]",2020-10-05
"176","Chicago","legal industry shows signs recovering early effects covid pandemic industry consultants anticipate increase law firm mergers","[]",2020-10-05
"177","New York","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"178","Los Angeles","asked happening white covid infection s trump cut questions upset maybe meds don t talking china virus pay","[]",2020-10-05
"179","San Francisco","news cdc updated stance covid spread airborne indoors beyond six feed","[]",2020-10-05
"180","San Francisco","white chance prevent covid cluster spreading further proper contact tracing doesnt seem happening","[]",2020-10-05
"181","Los Angeles","mitch mcconnell cant ignore public health scientific facts common sense mounting toll republican senators testing positive covid demands halt mad rush install donald trumps nominee supreme court lifetime appointment","[]",2020-10-05
"182","New York","trumps covid timeline","[]",2020-10-05
"183","Los Angeles","trumps covid timeline","[]",2020-10-05
"184","Los Angeles","costing covid forreal","[]",2020-10-05
"185","New York","parents keep children school signs illness experts advise social distancing wearing masks washing hands often don t forget amp vaccinate kids flu","[{'text': 'COVID19', 'indices': [109, 117]}]",2020-10-05
